,aRarity,mRarity
2557,2127.01,374663.55
2558,169.8,6782.48
2562,297.88,106688.24
2569,234.07,38597.86
2572,904.91,2349208.2
2610,570.4,173901.59
2611,223.25,21030.65
2617,182.81,27425.24
2624,420.9,266144.83
2637,451.34,617257.47
2647,541.83,392443.34
2649,259.43,149435.14
2652,314.73,341823.92
2654,161.82,6023.41
2656,186.86,14509.43
2657,977.44,1898556.78
2658,288.4,71301.88
2674,299.33,446963.77
2685,196.25,50371.37
2693,235.26,22417.92
2694,406.18,92508.4
2698,280.56,198395.13
2701,288.6,62746.85
2703,735.88,4306149.27
2720,204.7,30468.01
2737,227.38,35850.27
2750,162.28,16753.9
2754,766.36,2311381.43
2767,546.97,719672.27
2775,303.8,68717.15
2788,270.64,120831.42
2789,494.18,39596.96
2811,165.18,9352.71
2859,671.74,274181.12
2861,265.58,48978.82
2862,406.59,698963.26
2900,644.2,1008203.63
2901,252.77,128135.19
2910,476.61,481291.97
2923,242.6,38506.39
2960,437.5,547604.45
2961,449.88,582665.18
2962,586.5,176529.09
2964,341.67,124846.36
2977,371.33,69991.09
2991,404.96,59570.61
3011,211.34,48713.34
3012,264.51,45586.33
3015,330.18,103600.85
3022,190.5,46722.91
3024,273.28,404056.59
3026,498.89,641959.42
3040,531.31,565889.13
3057,152.27,11396.57
3060,177.47,12095.24
3069,331.97,87959.23
3087,212.94,51990.94
3092,282.83,140492.96
3099,379.02,483837.59
3108,304.32,161003.0
3112,738.0,199266.17
3117,312.17,201015.28
3134,295.07,23673.87
3176,342.13,395996.14
3179,170.07,12812.4
3208,190.89,26462.76
3211,539.57,469437.62
3223,221.65,38571.19
3231,688.18,235394.13
3244,646.87,305400.32
3253,1742.42,1067828.92
3285,248.38,49755.26
3297,334.16,48708.31
3321,204.06,55843.84
3322,258.16,108738.68
3329,461.89,714015.4
3330,265.91,95584.46
3355,265.88,131357.45
3361,458.72,262589.98
3364,268.98,95184.32
3381,169.66,14196.08
3428,248.17,36855.74
3434,158.07,4588.01
3438,236.87,18981.32
3458,2322.91,340054.7
3493,331.42,325629.97
3500,202.17,35773.09
3525,220.73,66142.55
3550,263.16,137446.83
3555,233.81,61022.66
3558,197.25,15270.98
3571,224.31,33886.23
3574,235.45,63953.95
3577,385.86,476075.09
3589,301.9,99676.3
3597,275.18,32221.48
3603,198.95,56126.5
3617,1843.73,802793.4
3622,217.3,48190.27
3623,299.5,45696.19
3626,225.25,63340.86
3639,206.84,37223.54
3650,524.55,248893.22
3651,1490.05,9052847.49
3674,946.05,435983.35
3695,196.36,10618.15
3696,574.45,1614130.6
3701,1129.11,776239.14
3703,563.94,681342.57
3705,410.56,270544.85
3708,206.22,39965.82
3712,2454.68,923684.07
3715,190.89,37877.81
3730,262.29,44177.43
3750,304.98,79811.13
3754,341.71,395800.16
3767,715.29,222970.06
3773,401.94,86428.66
3775,271.58,123089.24
3791,245.88,33656.52
3800,219.67,65873.0
3821,437.96,1099006.2
3823,406.13,506289.09
3835,235.51,27207.3
3847,821.38,228960.71
3854,142.16,6611.22
3855,562.77,656954.56
3857,491.79,396170.58
3881,311.39,284374.75
3884,179.81,23898.62
3895,199.17,70289.4
3911,218.26,42782.89
3924,195.13,26803.98
3926,240.3,52301.54
3928,569.21,243567.67
3932,728.92,1178236.01
3933,427.17,354392.3
3937,375.99,520083.52
3938,249.07,104987.42
3942,223.8,87298.33
3948,301.09,84514.73
3951,295.71,49906.79
3978,333.38,100826.13
3983,232.69,46453.17
3990,585.81,180598.72
4013,199.83,13508.21
4018,853.4,1053666.52
4029,384.28,55045.43
4030,759.69,265238.2
4033,375.63,563414.88
4036,1155.99,283848.73
4044,537.89,109788.72
4048,166.61,23354.78
4057,474.31,385608.93
4068,464.61,174387.83
4076,233.4,74692.98
4082,276.34,49660.55
4086,213.56,41294.9
4089,665.37,1262851.42
4094,388.88,81205.33
4102,267.53,92395.74
4106,310.36,243125.65
4125,212.18,26770.31
4155,165.65,8229.66
4156,398.63,593574.91
4171,199.22,57341.27
4184,199.42,28318.77
4186,336.62,91471.88
4198,205.08,34222.22
4199,519.63,248042.59
4208,192.89,26491.8
4241,260.94,115493.36
4248,294.23,98780.4
4253,216.39,41305.77
4254,276.44,52595.37
4282,230.26,95255.88
4294,452.35,524453.36
4320,190.74,27661.05
4321,153.93,13769.18
4324,395.59,351025.12
4363,545.82,3727915.91
4364,221.28,77526.58
4366,253.39,234806.33
4368,245.31,160121.38
4370,233.4,51794.0
4382,248.34,50801.86
4384,187.59,12269.08
4386,716.11,448812.74
4388,337.03,396609.38
4396,208.0,25980.86
4415,203.19,30935.57
4417,277.97,119047.89
4446,240.22,58103.08
4449,326.57,245699.61
4466,230.94,25790.43
4508,156.45,16701.83
4521,395.37,522265.9
4527,389.1,152118.82
4528,168.19,26408.43
4540,1970.33,992542.32
4546,230.95,74959.87
4552,452.96,240229.09
4563,360.51,559458.22
4572,260.62,128423.11
4577,409.96,349534.38
4587,173.63,9696.52
4596,494.6,544520.03
4597,162.91,14974.81
4599,543.97,270585.69
4608,326.87,434693.73
4629,181.49,38256.89
4642,847.14,2228133.9
4643,293.61,176972.76
4655,309.5,161406.44
4673,233.63,120580.13
4701,473.95,542374.77
4702,808.79,1147610.73
4703,558.8,120189.39
4717,224.01,81510.6
4729,299.9,133086.1
4737,256.95,218955.22
4746,1490.47,227808.07
4752,826.43,845344.82
4753,223.37,22590.69
4765,417.54,143917.63
4766,235.03,41320.2
4776,157.24,9860.47
4792,323.34,455054.28
4809,203.95,35671.5
4853,313.6,124564.08
4854,196.83,31253.64
4863,246.42,172305.93
4875,224.53,74553.36
4897,326.37,270186.39
4910,165.76,16673.18
4914,188.36,35616.96
4915,284.82,149410.45
4929,215.6,41626.37
4951,210.6,30130.54
4958,253.19,37272.96
4966,211.19,18935.92
4979,1271.61,6886570.29
4980,501.82,413419.18
4983,503.14,718055.29
4988,456.95,293544.14
4989,269.5,318297.27
5022,207.89,12197.39
5029,671.24,117325.06
5030,446.67,64039.41
5067,225.68,50903.81
5075,252.88,24231.12
5084,243.65,33390.87
5087,350.77,190118.51
5097,259.53,59321.37
5100,252.89,180339.27
5108,330.99,82713.48
5114,320.84,426692.49
5120,238.59,21993.14
5127,239.05,123673.47
5130,233.36,60318.82
5135,3040.65,1435730.02
5166,257.33,35001.16
5178,317.21,90711.62
5187,507.45,282860.76
5200,343.23,92829.2
5220,175.02,6019.43
5228,232.08,38420.2
5229,413.61,194298.21
5234,217.83,49454.33
5237,368.89,201942.15
5260,260.68,38462.86
5262,273.67,62413.84
5285,265.48,191100.06
5286,204.53,12923.7
5304,307.81,82554.81
5308,304.9,274635.4
5313,182.69,24201.49
5315,306.08,139177.62
5323,216.76,35082.32
5334,698.59,109733.45
5335,288.62,110640.94
5348,282.79,92611.45
5350,510.84,59520.46
5354,294.37,314938.6
5368,244.45,37549.86
5370,232.45,140469.88
5395,322.85,68500.8
5396,431.6,881951.29
5405,305.41,98473.3
5411,536.14,648127.06
5424,499.03,710389.11
5439,174.25,16517.33
5444,387.61,453531.05
5450,526.91,354069.56
5456,354.34,78730.37
5469,177.01,19826.06
5478,178.72,21453.39
5480,337.25,69532.12
5483,439.89,88447.54
5492,292.87,59848.59
5501,363.42,104756.82
5513,273.85,139301.08
5515,160.03,8152.45
5525,1248.67,527916.15
5535,220.88,28622.82
5561,312.77,233672.59
5563,289.4,209553.1
5567,291.42,114943.37
5584,312.69,341240.8
5592,453.18,54458.35
5607,215.21,36981.3
5609,205.61,84207.79
5623,560.42,383302.51
5638,462.91,148847.37
5639,177.9,22717.43
5644,1011.2,2971086.53
5648,232.63,43357.85
5663,446.24,476256.02
5671,388.92,487625.38
5712,221.48,93004.7
5718,386.12,360964.43
5720,262.89,111831.46
5729,256.05,22229.48
5739,293.2,233628.88
5755,239.45,32133.72
5764,387.8,114310.66
5783,219.78,15934.86
5802,185.54,21236.01
5815,226.37,70636.77
5837,328.71,293524.57
5849,193.58,42965.29
5852,406.72,409294.83
5868,290.5,352046.62
5869,288.44,143475.43
5882,342.52,72255.84
5897,280.85,326330.03
5904,1084.82,489164.79
5926,304.81,465498.25
5932,222.24,24105.65
5933,352.34,73021.74
5937,710.65,1209414.76
5939,537.14,131860.62
5946,224.14,72324.08
6014,463.24,124237.88
6058,203.38,26805.01
6061,260.73,222088.9
6064,330.68,187034.55
6067,201.65,11648.61
6068,380.79,372749.36
6070,216.94,63998.69
6088,208.46,69101.44
6089,1112.86,5527982.83
6092,180.6,24238.63
6103,268.05,72207.23
6142,393.52,98978.57
6166,387.97,317318.7
6193,196.11,26603.32
6197,326.33,698209.81
6204,1101.97,523875.75
6217,294.04,33503.46
6224,195.89,40241.28
6226,283.64,35786.98
6228,465.62,164886.28
6244,191.61,19488.22
6254,205.51,18225.78
6278,564.29,1337134.69
6289,327.53,159572.95
6295,698.59,163803.52
6296,166.41,12154.17
6320,291.1,243703.86
6324,269.16,72025.12
6328,1934.11,1981323.61
6342,197.13,40915.0
6371,352.13,113062.05
6401,851.94,3160906.5
6402,188.3,33830.03
6403,188.48,22606.83
6406,282.21,49283.55
6439,391.81,1278502.28
6440,281.03,79419.38
6447,192.66,21521.36
6451,377.65,37797.2
6464,273.32,221452.37
6465,954.63,488445.6
6473,241.94,148937.12
6493,242.3,210100.64
6495,210.91,92759.28
6497,205.43,49625.77
6515,296.84,275090.07
6524,166.23,5934.69
6525,255.4,323706.52
6531,385.42,332237.7
6540,432.51,1803966.51
6547,231.69,49857.33
6560,183.49,36303.07
6569,385.99,1475823.76
6575,220.88,45754.81
6594,520.8,54816.78
6628,290.84,242463.37
6680,255.21,62991.35
6723,208.64,53180.29
6728,247.98,144898.58
6730,297.07,823798.63
6736,266.69,215617.19
6759,221.03,95659.05
6760,314.19,165515.21
6771,182.62,47640.13
6780,481.55,277194.39
6782,314.77,65637.88
6810,373.96,119664.58
6811,206.13,17062.63
6814,291.36,43973.77
6838,234.39,95223.7
6840,257.69,160898.28
6858,1127.1,1479400.5
6862,155.2,10266.06
6871,411.04,181516.92
6872,325.94,157461.78
6875,470.39,84296.76
6878,187.22,47624.25
6885,337.94,32814.81
6886,389.78,35326.41
6890,202.06,44649.33
6891,258.18,118900.45
6906,474.02,852784.98
6913,325.01,162268.87
6915,550.6,81983.16
6916,716.83,2414129.58
6918,237.63,84768.03
6920,310.48,202302.22
6922,188.07,26675.91
6940,418.63,198384.22
6964,334.7,616997.6
6977,790.87,1150953.16
6980,616.45,291230.12
7012,392.95,348495.39
7036,419.96,164720.98
7046,807.36,1323260.09
7058,243.75,72469.8
7062,511.09,467604.92
7073,248.24,55623.07
7076,264.09,79385.14
7080,207.81,44221.22
7083,851.83,2281896.99
7084,285.09,52623.97
7088,238.2,105290.6
7100,643.29,1904547.73
7108,256.28,135312.25
7120,681.15,426828.16
7128,212.8,72677.31
7129,367.95,81221.76
7130,234.74,45469.63
7132,294.92,64599.67
7141,1713.09,1059870.82
7142,276.97,216422.08
7157,613.54,302378.19
7175,204.83,31255.53
7182,212.5,38058.97
7183,292.14,190315.79
7222,376.55,449073.92
7226,514.35,257593.99
7227,339.67,289386.53
7234,241.93,54559.04
7240,298.98,192799.11
7252,249.34,92110.75
7258,224.63,23369.65
7269,576.54,557252.03
7275,514.03,852031.97
7287,330.35,287627.11
7288,440.46,924858.61
7293,480.54,409260.72
7304,638.25,440025.4
7318,250.47,207433.8
7325,227.57,54164.43
7331,251.79,87864.31
7350,190.66,23040.67
7369,174.84,15033.76
7376,262.7,139436.94
7377,539.31,381117.97
7385,262.96,252366.9
7400,252.64,87277.73
7409,1612.29,618304.47
7417,321.3,34021.1
7425,280.92,165495.86
7427,277.23,116087.93
7429,372.15,567410.69
7443,371.95,285731.37
7448,219.52,52131.07
7449,223.94,92662.39
7451,325.83,208829.0
7465,389.15,42383.84
7466,570.92,1040376.59
7468,286.22,210730.34
7475,334.29,184266.21
7476,383.83,764709.55
7482,331.66,98724.76
7490,194.19,25476.96
7493,725.86,723003.04
7504,231.89,105643.49
7505,226.63,84902.3
7507,283.19,151205.99
7508,193.1,25270.79
7509,413.28,156132.8
7510,4641.81,5128485.83
7525,219.21,72977.67
7527,213.45,41886.11
7553,280.13,97255.69
7555,252.6,22583.84
7562,290.67,98480.26
7564,210.25,31430.58
7578,364.62,807709.03
7584,261.58,110568.04
7586,170.73,12028.33
7587,1393.01,1695935.82
7588,317.29,314745.67
7632,261.22,80201.18
7640,380.14,228920.27
7644,176.32,28475.23
7647,234.5,115220.84
7653,2454.0,321808.68
7655,1464.79,940562.95
7663,275.66,214662.69
7664,293.84,209717.02
7665,543.67,924231.69
7667,386.94,321233.62
7680,203.15,21578.6
7682,264.6,101223.78
7689,320.84,285468.13
7694,283.61,224638.04
7704,341.99,155356.81
7705,604.57,378985.7
7719,263.26,101597.17
7740,253.39,51707.71
7759,186.15,16041.61
7760,432.78,291220.71
7772,517.94,244296.72
7812,219.23,31563.12
7826,534.55,158442.92
7832,202.64,13091.14
7834,195.36,15950.05
7835,244.32,79581.59
7867,224.57,46754.58
7886,242.56,92987.43
7902,350.46,292789.58
7906,303.05,195110.37
7908,288.76,166367.58
7913,840.11,2621646.86
7924,217.2,26051.54
7938,865.93,420527.34
7961,202.86,56033.6
7968,269.63,82121.25
7977,393.67,609584.98
8001,202.2,20947.9
8033,253.33,39390.35
8048,178.63,28221.08
8051,286.92,61502.57
8067,181.37,12053.71
8070,287.46,35738.39
8082,249.86,99988.78
8084,252.56,33783.6
8087,229.51,43798.7
8114,306.03,151937.95
8116,266.71,223583.06
8119,262.45,73149.38
8121,234.9,56908.88
8131,243.3,63912.05
8145,243.54,68544.62
8148,210.7,33847.18
8169,243.63,12279.11
8192,311.51,77868.64
8195,261.85,111379.0
8201,253.88,160391.41
8208,292.12,256623.96
8210,377.05,57800.65
8236,260.66,21385.88
8237,195.12,51033.28
8249,334.43,265295.71
8251,289.59,70328.06
8252,318.13,315194.51
8293,215.2,42927.71
8301,268.63,264266.44
8317,235.88,40894.97
8318,282.8,152036.1
8319,286.54,49573.41
8338,177.61,12247.24
8348,180.74,12931.13
8357,213.4,41210.44
8399,224.97,84416.3
8403,1013.9,746294.24
8408,203.87,44232.71
8410,581.33,474454.54
8415,212.02,14271.25
8417,231.35,62265.42
8420,354.75,70525.01
8423,172.08,33565.24
8451,330.5,317035.38
8464,301.75,53112.47
8471,220.82,95691.48
8472,450.7,309063.4
8495,520.31,1521025.71
8511,413.71,845200.3
8516,181.59,26506.7
8521,225.12,31539.94
8522,412.88,812417.54
8523,431.55,208660.91
8535,411.85,80900.13
8541,328.05,178169.13
8542,536.56,1732268.76
8544,210.96,74416.64
8546,207.41,40623.74
8549,224.23,61444.26
8550,329.93,484877.89
8571,296.29,140555.97
8575,275.46,23552.79
8581,576.78,168689.19
8590,179.61,11299.5
8622,200.93,39506.21
8627,237.71,112472.58
8628,304.82,212728.42
8631,268.34,85299.48
8635,247.35,145357.29
8646,256.56,108972.95
8650,232.2,42951.05
8666,267.14,60530.44
8675,912.0,2496160.11
8700,203.63,63255.57
8710,222.16,23153.29
8712,181.59,28412.26
8725,295.91,229451.72
8726,167.66,12364.56
8757,316.67,149647.71
8761,397.03,189993.24
8763,181.84,22979.02
8769,199.87,11669.25
8772,215.11,70772.93
8774,222.49,67621.2
8779,4441.16,1480632.35
8790,322.85,196321.41
8791,255.44,82418.84
8794,200.94,43740.66
8810,218.09,63370.27
8815,308.54,186653.3
8823,475.72,219413.21
8846,569.33,2901643.33
8847,209.97,58016.82
8863,524.55,300731.29
8864,212.71,42885.2
8875,918.71,842546.17
8881,350.64,808741.16
8885,420.02,159012.35
8892,216.86,30882.82
8894,245.37,166434.19
8922,403.01,78487.38
8923,358.5,445005.2
8925,338.31,334654.45
8973,212.41,75163.7
8977,532.77,280222.93
8978,231.8,91691.85
8980,276.06,99486.52
8986,579.24,1097110.93
8987,280.31,120936.3
8993,462.86,384467.69
8994,242.96,149828.7
8995,247.18,59571.51
9007,273.19,249226.57
9008,678.6,219257.97
9014,356.79,182314.77
9015,485.71,831573.97
9019,248.56,139472.81
9023,275.12,136341.98
9025,309.78,277597.9
9034,239.2,89992.94
9046,341.04,145641.17
9061,496.71,201919.08
9073,265.1,287664.63
9083,629.84,703724.07
9089,576.94,325830.12
9107,420.4,663505.14
9120,222.51,53478.75
9182,193.61,30556.47
9201,409.07,76990.22
9219,643.51,744439.35
9232,308.71,275538.44
9234,259.42,87226.89
9236,402.62,311460.34
9237,258.25,192735.09
9238,337.1,986037.45
9241,664.86,552098.52
9258,248.33,37683.87
9260,2282.2,20194973.1
9272,209.48,67775.18
9279,214.35,30316.7
9282,201.09,45399.21
9290,195.87,33422.82
9295,195.27,36022.36
9297,319.41,232018.48
9299,273.48,194961.08
9312,259.52,124214.18
9339,246.05,44131.96
9348,306.22,76661.08
9350,290.79,88398.04
9353,303.2,133860.75
9380,691.61,318655.81
9381,537.43,772126.95
9389,324.81,125380.61
9425,477.79,405881.09
9438,211.71,66491.11
9474,235.47,52736.48
9478,236.72,82014.1
9517,288.23,352534.24
9525,148.1,6424.48
9528,276.0,136263.06
9529,278.88,117896.61
9533,241.67,106314.62
9553,247.8,74065.65
9563,424.11,177722.58
9565,289.44,112998.57
9571,288.33,158796.65
9574,564.58,120863.85
9575,378.86,590390.57
9578,228.27,40126.58
9598,235.23,44337.34
9615,240.1,26541.09
9640,274.84,127344.35
9643,333.3,258131.06
9651,363.17,231725.77
9660,158.99,15435.24
9670,209.56,8777.53
9675,326.65,450994.96
9677,263.78,133441.25
9691,505.59,805727.6
9698,386.78,129144.48
9706,469.88,316711.32
9710,131.71,4243.21
9713,221.54,56483.44
9714,268.87,65761.08
9726,499.62,418033.84
9728,178.23,7690.29
9746,500.85,524020.74
9760,372.76,607194.84
9781,474.1,127902.04
9782,337.41,20764.41
9792,434.42,672483.37
9804,467.94,182200.81
9820,298.69,426813.56
9836,216.39,78791.54
9838,169.25,13680.33
9849,366.63,60855.31
9853,316.71,268072.03
9854,250.37,90968.34
9859,281.98,83418.77
9860,542.99,302394.89
9868,196.38,30887.79
9883,254.26,144671.88
9884,313.49,766805.85
9899,264.63,123545.68
9900,204.39,51932.58
9904,188.05,30567.1
9921,341.37,210174.23
9922,457.01,606554.29
9926,297.75,145418.07
9935,482.31,900258.7
9943,168.59,13535.1
9945,211.77,38515.64
9949,262.1,159674.9
9950,325.3,652554.18
9951,311.21,59590.54
9958,216.2,46847.59
9959,275.86,86150.06
9962,320.4,484853.4
9964,345.44,90872.37
9973,259.73,118804.25
9976,416.88,951211.03
9988,254.15,72177.13
9989,392.79,49661.1
10007,359.02,476901.71
10024,183.59,28175.25
10033,181.48,26932.18
10036,258.96,102033.18
10057,540.0,143486.8
10058,303.58,93772.58
10064,447.1,298970.29
10067,286.01,339059.94
10068,972.23,1303974.75
10097,399.95,153263.95
10105,256.72,136943.32
10107,843.48,352521.87
10122,236.4,47772.52
10133,325.24,98457.38
10151,274.63,43464.21
10155,416.56,104628.39
10172,256.42,41343.41
10190,346.02,252189.62
10202,577.76,1054952.5
10230,238.56,103204.22
10237,270.55,80961.79
10258,441.88,877085.86
10259,171.98,11131.35
10264,485.75,256258.57
10269,589.7,576759.42
10272,178.38,30042.26
10284,413.96,95033.95
10318,264.92,95947.28
10325,691.09,201846.86
10337,194.14,22440.67
10340,290.98,134199.79
10361,246.93,109411.25
10362,363.05,45558.53
10363,317.76,73149.69
10373,429.29,273297.45
10376,349.42,351310.19
10380,531.02,863301.79
10383,244.19,107416.27
10386,324.11,118800.91
10388,243.22,40031.26
10399,246.34,63034.0
10402,482.26,320186.68
10409,508.96,50367.33
10414,211.22,30523.73
10422,412.51,744024.18
10430,573.79,74759.83
10449,216.68,24636.37
10452,242.59,94636.26
10458,243.69,59483.92
10482,283.44,168995.33
10485,198.06,29668.23
10494,288.12,150082.26
10499,195.86,43121.7
10512,379.02,482767.49
10526,298.61,564666.07
10535,265.91,144237.86
10540,322.56,116295.6
10548,622.77,1577244.18
10558,275.41,137955.26
10565,595.45,163199.97
10595,216.78,84913.87
10596,308.98,153958.88
10597,571.79,218291.48
10601,340.33,316845.44
10605,199.1,27035.75
10606,509.45,572079.84
10613,971.88,247677.13
10664,273.28,29183.82
10675,471.78,205398.68
10693,316.65,38211.17
10696,196.4,29133.45
10697,272.41,147125.71
10700,289.28,272882.19
10709,235.11,163270.28
10724,254.0,21911.81
10734,255.01,60141.85
10763,194.67,33822.71
10767,435.93,156509.58
10772,217.99,45380.45
10778,477.58,1155480.96
10779,382.97,521843.66
10780,235.01,73686.3
10796,559.73,369351.54
10831,319.31,22449.36
10841,1953.75,807756.43
10844,518.73,186074.11
10859,425.19,65863.9
10862,237.74,41662.46
10866,266.95,81951.36
10874,610.15,160889.77
10879,300.37,57315.52
10888,497.83,130593.63
10891,279.8,190844.21
10893,255.26,153675.71
10899,527.52,33837.5
10907,275.85,88530.79
10910,499.22,412624.44
10911,262.49,111378.05
10928,283.82,142103.69
10930,639.67,293317.9
10932,174.37,18641.33
10963,346.71,124590.44
10968,341.8,315626.29
10971,305.1,260943.06
10972,383.23,138341.13
10974,206.98,85490.72
10975,252.44,115981.11
10984,273.11,196235.94
10988,298.1,257913.62
10994,628.55,34975.54
11004,197.59,20206.29
11005,236.18,49437.76
11053,258.07,94899.01
11068,532.06,96435.38
11077,406.21,68518.88
11086,230.01,65970.52
11091,324.83,352918.28
11110,230.07,38674.24
