,aRarity,mRarity
863,187.09,103.77
864,271.68,397.6
865,168.83,137.67
866,72.21,3.42
872,546.75,532.73
873,143.58,148.85
874,79.68,20.33
875,135.08,277.49
878,165.44,225.9
880,160.14,51.44
882,124.12,23.17
883,391.52,2442.14
884,59.81,14.0
885,124.52,68.73
890,592.93,56.2
891,204.0,68.82
892,119.74,110.42
893,138.5,37.04
894,385.47,113.43
895,149.55,119.5
901,46.56,3.29
902,675.71,619.26
903,136.98,104.5
904,1066.01,146.59
905,417.18,4019.14
906,295.43,964.94
908,371.73,64.6
909,88.75,23.11
910,1180.39,230.84
911,194.55,25.59
912,599.1,1867.69
913,124.47,20.42
914,145.82,90.34
915,96.05,29.57
916,76.62,37.31
917,192.08,512.12
920,110.22,19.39
921,10533.33,15.07
923,172.81,123.8
929,951.15,64.73
932,196.65,400.7
933,192.61,276.01
935,117.0,138.24
936,181.14,714.52
937,135.98,89.52
940,258.06,105.67
945,99.73,46.33
947,252.18,16.54
948,102.1,124.97
949,156.64,47.03
950,251.73,192.04
951,128.39,298.89
958,151.6,246.25
961,103.08,38.83
962,378.38,73.39
964,135.23,187.17
965,123.44,60.19
966,1373.99,246.11
967,145.86,27.94
973,124.85,37.62
974,304.27,65.3
980,615.42,117.52
981,149.15,376.17
982,70.03,11.45
983,82.92,8.0
985,387.1,101.55
988,95.38,37.92
989,159.55,481.43
1002,48.16,1.97
1004,203.0,155.86
1005,299.91,52.87
1007,285.95,37.34
1018,86.87,40.65
1019,121.45,38.73
1026,190.77,6.76
1027,146.21,41.74
1028,160.55,297.8
1029,165.35,662.28
1030,1228.41,88.71
1031,103.91,6.33
1033,173.86,348.33
1035,139.71,81.75
1037,259.36,9.16
1038,255.32,5204.67
1039,928.74,16.76
1040,168.13,39.16
1041,98.64,45.48
1043,160.3,219.95
1057,150.04,5.57
1059,149.46,228.97
1072,222.43,208.51
1073,163.37,105.25
1074,125.77,31.5
1075,178.02,252.39
1079,132.67,57.31
1081,151.65,109.78
1092,203.41,106.83
1093,104.12,41.85
1094,124.58,352.28
1097,316.17,88.15
1098,134.81,148.99
1099,431.55,166.94
1102,561.31,55.16
1104,68.83,7.17
1105,88.37,21.4
1106,573.23,5494.78
1107,146.37,14.43
1110,172.22,13.61
1111,141.87,37.63
1112,102.48,92.29
1114,87.71,25.11
1115,345.89,1173.67
1116,310.66,114.88
1118,302.96,1931.04
1129,150.86,138.49
1130,105.96,70.56
1132,97.44,34.89
1133,61.79,7.82
1134,111.34,86.31
1135,415.36,45.88
1136,222.56,1181.39
1138,851.85,83.39
1139,88.4,13.77
1140,182.63,482.7
1147,212.63,34.13
1148,76.83,27.33
1149,244.76,70.07
1150,476.18,713.85
1151,250.18,507.06
1152,134.19,50.31
1154,1258.75,98.93
1157,90.73,18.99
1158,197.86,104.66
1166,135.06,142.07
1167,101.6,23.94
1168,111.64,94.33
1170,267.02,618.57
1183,96.41,44.55
1184,60.5,12.51
1190,461.06,1190.01
1191,302.77,44.4
1192,127.45,5.26
1193,350.82,404.84
1194,68.79,6.24
1195,105.05,30.93
1198,61.69,6.97
1205,154.71,105.43
1207,112.33,294.68
1208,414.0,1370.43
1210,184.71,31.52
1211,188.27,5.5
1212,152.74,107.2
1214,1237.63,687.17
1219,122.46,26.91
1227,157.28,315.49
1229,192.98,2422.51
1235,192.09,87.9
1238,149.11,219.57
1240,410.96,197.71
1242,155.83,355.15
1245,164.24,270.45
1246,162.19,80.86
1254,104.57,30.62
1256,1266.57,2820.14
1257,276.47,118.22
1258,92.98,7.72
1266,86.97,25.72
1268,239.57,111.57
1270,156.39,243.56
1276,96.19,103.73
1282,1621.85,159.68
1284,320.59,11.65
1285,107.1,106.81
1287,254.3,25.07
1289,258.45,24.01
1290,233.49,855.29
1291,260.8,880.84
1292,290.83,714.51
1293,184.98,112.5
1294,173.8,375.7
1295,175.59,12.91
1296,237.42,542.3
1297,106.46,74.72
1300,235.76,590.37
1301,470.2,295.35
1302,207.13,306.87
1304,80.53,17.23
1305,198.28,1313.65
1306,85.57,18.05
1308,229.95,452.64
1313,62.45,5.47
