,aRarity,mRarity
25290,87.45,76.46
25291,92.07,30.67
25292,111.57,54.69
25293,89.66,90.19
25294,147.16,130.06
25295,122.04,51.97
25296,257.44,120.34
25297,70.19,28.86
25298,63.15,23.1
25299,108.35,40.19
25300,96.59,102.86
25301,145.86,122.43
25302,77.63,40.32
25303,275.28,58.4
25304,876.03,92.52
25305,72.66,33.69
25306,73.03,30.96
25307,70.94,59.89
25308,116.32,42.77
25309,55.7,16.62
25310,75.98,44.23
25311,44.87,13.19
25312,85.15,59.84
25313,76.7,48.08
25314,81.85,40.79
25315,74.1,45.65
25316,74.95,37.63
25317,74.49,25.11
25318,69.21,17.72
25319,131.98,91.08
25320,159.47,53.89
25321,57.92,25.61
25322,78.56,44.76
25323,83.97,42.17
25324,76.29,31.23
25325,85.47,66.52
25326,87.95,26.93
25327,287.73,87.73
25328,58.73,34.75
25329,87.81,53.16
25330,67.92,29.41
25331,113.39,92.05
25332,82.38,73.84
25333,212.17,131.95
25334,69.11,36.56
25335,84.77,39.86
25336,196.15,121.72
25337,53.2,21.97
25338,113.12,64.47
25339,112.19,41.26
25340,56.64,15.74
25341,137.36,34.91
25342,50.68,13.04
25343,86.71,33.34
25344,126.62,125.98
25345,52.43,19.53
25346,282.46,72.78
25347,105.49,38.07
25348,58.82,24.86
25349,99.61,106.81
25350,72.65,35.7
25351,86.11,86.0
25352,103.52,117.99
25353,101.86,50.22
25354,59.93,24.65
25355,117.03,61.88
25356,59.93,25.91
25357,64.06,37.66
25358,102.08,35.86
25359,47.95,18.8
25360,151.47,71.95
25361,87.06,25.62
25362,153.02,51.12
25363,119.31,47.71
25364,58.89,27.08
25365,125.93,31.32
25366,69.24,39.2
25367,56.31,22.42
25368,69.07,25.48
25369,64.65,27.32
25370,68.01,42.36
25371,137.55,38.76
25372,146.35,71.6
25373,136.63,78.19
25374,78.62,54.59
25375,90.81,92.73
25376,78.29,24.5
25377,207.49,47.39
25378,75.91,46.06
25379,73.03,39.11
25380,101.35,24.25
25381,215.27,189.56
25382,95.0,23.87
25383,111.74,121.83
25384,101.96,183.49
25385,68.07,35.26
25386,82.09,34.78
25387,97.2,57.41
25388,87.85,26.17
25389,136.57,72.77
25390,135.68,66.63
25391,124.12,44.37
25392,290.3,91.06
25393,58.4,27.3
25394,139.33,52.9
25395,100.6,31.73
25396,87.98,50.96
25397,98.72,78.55
25398,88.76,67.62
25399,60.77,22.57
25400,84.31,46.62
25401,205.22,63.41
25402,121.96,19.08
25403,78.01,56.08
