,aRarity,mRarity
319,18.92,1.19
320,19.43,1.16
321,6.78,0.42
322,17.45,1.14
323,12.28,0.71
324,14.03,0.51
325,23.77,0.66
326,10.59,0.54
327,15.74,0.79
328,15.15,0.84
329,8.65,0.44
330,8.71,0.45
331,12.9,0.88
332,6.13,0.51
333,19.27,1.02
334,7.27,0.52
335,9.29,0.53
336,7.34,0.49
337,13.95,0.79
338,15.32,0.86
339,4.86,0.49
340,5.9,0.37
341,6.68,0.37
342,30.31,0.96
343,4.69,0.31
344,7.52,0.35
345,6.55,0.62
346,20.14,0.59
347,7.13,0.5
348,7.12,0.41
349,14.09,0.61
350,8.86,0.58
351,9.21,0.48
352,7.32,0.41
353,5.08,0.32
354,14.12,0.64
355,9.68,0.58
356,21.35,1.22
357,86.1,1.48
358,6.57,0.47
359,8.32,0.4
360,115.45,1.89
361,12.71,0.87
362,4.69,0.46
363,36.98,1.13
364,12.95,0.49
365,5.31,0.4
366,10.77,0.81
367,7.09,0.38
368,11.02,0.83
369,9.42,0.65
370,6.57,0.41
371,11.17,0.89
372,10.5,0.63
373,8.41,0.61
374,8.65,0.58
375,8.59,0.61
376,10.01,0.62
377,12.4,0.89
378,9.56,0.77
379,7.7,0.46
380,14.63,0.91
381,5.35,0.41
382,5.37,0.4
383,47.91,1.3
384,6.05,0.46
385,5.65,0.29
386,57.71,0.79
387,9.16,0.6
388,6.9,0.53
389,17.48,0.68
390,18.25,0.82
391,7.25,0.78
392,6.34,0.48
393,6.97,0.4
394,7.86,0.49
395,5.61,0.42
396,7.69,0.52
397,41.62,1.1
398,13.63,0.9
399,7.3,0.5
400,12.66,1.01
401,8.87,0.46
402,10.94,0.48
403,6.97,0.45
404,12.9,0.66
405,7.18,0.48
406,7.84,0.6
407,7.21,0.35
408,7.75,0.56
409,12.45,0.63
410,13.17,0.8
411,12.35,0.56
412,5.83,0.57
413,12.53,0.43
414,6.17,0.51
415,8.44,0.43
416,9.57,0.45
417,5.22,0.36
418,9.47,0.59
419,11.18,0.47
420,11.07,0.78
421,7.14,0.44
422,9.46,0.73
423,9.34,0.57
424,7.21,0.46
425,7.98,0.4
426,8.57,0.47
427,32.85,0.79
428,5.33,0.53
429,11.15,0.55
430,9.61,0.62
431,6.11,0.37
432,10.87,0.88
433,7.71,0.42
434,5.11,0.49
435,9.22,0.5
436,13.5,0.97
437,5.5,0.52
438,12.91,0.64
439,17.65,0.97
440,5.89,0.37
441,5.41,0.35
442,490.92,2.03
443,9.67,0.6
444,8.17,0.43
445,8.54,0.73
446,7.1,0.37
447,7.47,0.54
448,31.58,0.93
449,9.41,0.47
450,5.57,0.4
451,7.12,0.52
452,7.47,0.44
453,11.82,0.99
454,6.32,0.31
455,4.56,0.48
456,6.44,0.4
457,9.92,0.67
458,12.03,0.73
459,8.44,0.6
460,4.93,0.47
461,9.39,0.39
462,5.95,0.44
463,7.05,0.47
464,5.21,0.36
465,8.3,0.69
466,8.85,0.67
467,6.45,0.36
468,8.3,0.53
469,11.32,1.03
470,5.48,0.4
471,3.14,0.36
472,12.06,0.82
473,10.78,0.81
474,10.94,0.76
475,5.82,0.52
476,5.18,0.25
477,6.99,0.53
478,6.62,0.5
479,7.79,0.65
480,71.3,1.05
481,7.23,0.38
482,10.86,0.67
483,7.17,0.46
484,10.2,0.58
485,6.93,0.47
486,5.34,0.28
487,23.82,0.7
488,8.94,0.65
489,7.83,0.6
490,41.25,0.95
491,10.83,0.66
492,8.24,0.51
493,10.45,0.66
494,7.77,0.53
495,8.19,0.38
496,7.62,0.6
497,5.48,0.52
498,40.89,1.76
499,5.46,0.46
500,11.55,0.7
501,8.95,0.63
502,7.13,0.38
503,15.95,0.96
504,11.66,0.63
505,6.85,0.54
506,7.0,0.44
507,15.14,0.86
508,12.9,0.68
509,7.03,0.45
510,5.55,0.34
511,12.85,0.77
512,9.69,0.44
513,8.93,0.46
514,7.55,0.45
515,5.57,0.31
516,13.57,0.85
517,9.63,0.6
518,8.94,0.43
519,10.19,0.79
520,8.31,0.7
521,39.81,1.41
522,9.93,0.48
523,10.68,0.52
524,7.1,0.26
525,7.01,0.57
526,8.45,0.73
527,6.7,0.5
528,10.92,0.48
529,11.11,0.46
530,26.04,1.77
531,8.13,0.43
532,7.54,0.47
533,8.97,0.57
534,13.88,0.5
535,6.01,0.31
536,11.08,0.55
537,31.79,0.71
538,24.19,0.83
539,6.46,0.37
540,8.11,0.58
541,7.25,0.44
542,10.25,0.75
543,7.27,0.4
544,39.43,0.78
545,6.36,0.4
546,7.32,0.56
547,10.66,0.33
548,11.79,0.47
549,13.05,0.79
550,6.41,0.59
551,16.53,1.05
552,10.32,0.41
553,9.44,0.6
554,11.59,0.72
555,11.08,0.61
556,8.88,0.73
557,7.41,0.37
558,11.57,0.76
559,12.03,0.51
560,8.16,0.65
561,11.47,0.85
562,9.58,0.59
563,7.18,0.59
564,7.18,0.5
565,12.57,0.6
566,5.92,0.36
567,25.74,0.85
568,7.52,0.46
569,10.6,0.59
570,21.71,1.79
571,6.49,0.59
572,15.13,0.8
573,6.04,0.44
574,9.12,0.58
575,4.0,0.35
576,9.74,0.35
577,48.5,0.85
578,5.75,0.45
579,9.47,0.53
580,5.27,0.45
581,7.76,0.41
582,6.38,0.56
583,8.54,0.56
584,6.36,0.42
585,11.0,0.8
586,6.53,0.43
587,6.05,0.57
588,4.49,0.5
589,7.0,0.47
590,9.25,0.63
591,8.98,0.65
592,9.95,0.71
593,12.48,0.73
594,7.85,0.46
595,9.03,0.48
596,4.97,0.44
597,7.52,0.55
598,9.65,0.7
599,13.7,0.67
600,10.77,0.73
601,6.21,0.65
602,8.94,0.7
603,9.39,0.42
604,12.17,0.73
605,6.26,0.42
606,7.29,0.55
607,10.96,0.52
608,11.06,0.52
609,8.6,0.39
610,18.01,0.93
611,14.45,0.74
612,7.39,0.45
613,13.03,1.02
614,6.87,0.49
615,7.48,0.72
616,6.42,0.8
617,71.46,1.18
618,7.0,0.56
619,8.28,0.74
620,5.22,0.36
621,22.92,1.44
622,9.33,0.51
623,19.95,0.8
624,11.19,0.82
625,7.17,0.37
626,8.28,0.26
627,50.07,1.74
628,9.54,0.54
629,19.33,1.02
630,7.97,0.56
631,9.3,0.82
632,8.94,0.56
633,11.12,0.88
634,20.11,0.55
635,20.11,0.55
636,6.22,0.46
637,8.24,0.5
638,15.6,0.69
639,6.66,0.41
640,7.19,0.48
641,11.03,0.64
642,7.03,0.39
643,12.39,0.77
644,6.83,0.49
645,10.32,0.7
646,9.73,0.62
647,8.3,0.52
648,9.46,0.53
649,6.0,0.39
650,5.46,0.4
651,86.51,1.05
652,7.23,0.38
653,5.12,0.34
654,7.68,0.74
655,6.65,0.3
656,12.25,0.95
657,8.37,0.36
658,5.62,0.44
659,8.59,0.47
660,8.85,0.61
661,8.55,0.42
662,7.96,0.37
663,6.05,0.37
664,6.92,0.48
665,26.56,1.2
666,5.68,0.28
667,12.47,0.73
668,9.31,0.61
669,85.41,1.23
670,12.61,0.68
671,24.6,0.95
672,17.01,0.84
673,8.05,0.62
674,7.87,0.45
675,10.43,0.54
676,13.83,0.86
677,9.24,0.86
678,10.29,0.54
679,3.85,0.34
680,8.82,0.51
681,9.69,0.62
682,6.26,0.39
683,17.52,0.72
684,5.86,0.34
685,8.31,0.6
686,14.06,1.0
687,12.86,0.72
688,13.13,0.81
689,7.07,0.53
690,11.68,0.77
691,11.57,0.69
692,5.48,0.47
693,17.41,1.23
694,11.86,0.71
695,5.6,0.28
696,5.82,0.43
697,8.96,0.53
698,9.8,0.88
699,6.78,0.46
700,6.98,0.59
701,32.14,1.59
702,13.11,0.72
703,35.8,1.23
704,5.53,0.28
705,6.98,0.56
706,6.19,0.34
707,8.6,0.44
708,13.21,0.8
709,5.71,0.39
710,10.18,0.59
711,8.52,0.45
712,6.43,0.48
713,5.8,0.45
714,7.49,0.65
715,12.41,0.59
716,10.29,0.5
717,12.28,0.77
718,7.25,0.55
719,10.97,0.68
720,15.24,0.8
721,5.85,0.47
722,7.44,0.45
723,11.93,0.64
724,7.56,0.45
725,8.47,0.36
726,5.85,0.45
727,7.74,0.37
728,4.98,0.34
729,12.76,0.85
730,18.38,0.96
731,11.19,0.59
732,15.55,0.85
733,57.11,1.29
734,32.41,0.97
735,7.45,0.49
736,23.29,0.77
737,4.48,0.42
738,6.81,0.46
739,9.73,0.61
740,7.36,0.34
741,6.57,0.56
742,16.99,0.84
743,6.35,0.34
744,112.38,1.18
745,12.84,0.63
746,11.21,0.42
747,10.73,0.82
748,8.96,0.46
749,6.4,0.44
750,648.82,2.51
751,10.15,0.7
752,36.44,0.98
753,11.61,0.7
754,8.21,0.67
755,5.63,0.42
756,33.63,1.01
757,14.08,0.75
758,9.76,0.55
759,9.3,0.67
760,7.0,0.69
761,16.03,0.87
762,8.17,0.61
763,5.29,0.44
764,17.09,0.8
765,17.85,0.92
766,10.79,0.62
767,6.45,0.4
768,7.02,0.51
769,4.89,0.34
770,6.84,0.46
771,7.71,0.49
772,5.95,0.44
773,8.16,0.69
774,10.89,0.83
775,6.98,0.47
776,9.59,0.58
777,14.07,0.92
778,3.57,0.3
779,8.1,0.53
780,8.56,0.44
781,8.18,0.36
782,6.99,0.39
783,19.59,0.87
784,6.08,0.42
785,70.62,1.2
786,7.12,0.25
787,14.65,1.05
788,5.95,0.32
789,8.8,0.48
790,6.39,0.48
791,6.48,0.32
792,9.71,0.65
793,8.73,0.71
794,15.89,1.02
795,57.78,1.11
796,11.44,0.64
797,6.08,0.34
798,7.95,0.5
799,6.05,0.42
800,8.15,0.52
801,5.85,0.41
802,12.02,0.76
803,12.45,0.56
804,9.19,0.6
805,8.92,0.47
806,5.29,0.54
807,5.06,0.35
808,13.76,0.89
809,7.87,0.47
810,12.29,0.61
811,7.07,0.5
812,10.32,0.53
813,9.22,0.62
814,17.77,0.66
815,16.47,1.06
816,8.51,0.51
817,5.61,0.32
818,14.28,0.7
819,9.07,0.42
820,8.43,0.47
821,6.1,0.59
822,6.69,0.44
823,6.14,0.38
824,13.72,1.01
825,6.92,0.63
826,8.59,0.41
827,7.55,0.57
828,8.21,0.59
829,59.93,1.32
830,8.79,0.75
831,7.61,0.45
832,7.59,0.52
833,10.56,0.68
834,8.89,0.66
835,5.78,0.42
836,7.04,0.4
837,12.19,0.72
838,5.57,0.39
839,20.36,1.03
840,30.48,0.67
841,7.29,0.54
842,6.33,0.38
843,24.64,1.33
844,10.26,0.51
845,6.18,0.4
846,8.81,0.46
847,25.48,0.78
848,7.45,0.49
849,20.15,1.44
850,7.5,0.39
851,10.55,0.83
852,6.27,0.56
853,10.08,0.82
854,6.83,0.5
855,9.3,0.72
856,8.86,0.51
857,9.62,0.62
858,13.77,0.53
859,5.78,0.48
860,12.46,0.68
861,7.33,0.39
862,7.38,0.51
863,7.58,0.49
864,8.12,0.51
865,24.69,1.46
866,19.14,1.06
867,18.91,0.74
868,5.92,0.51
869,8.03,0.56
870,6.38,0.38
871,6.76,0.5
872,10.55,0.64
873,17.35,0.73
874,18.73,0.93
875,5.88,0.46
876,37.93,2.35
877,9.93,0.55
878,4.31,0.39
879,7.61,0.43
880,11.39,0.74
881,9.07,0.73
882,9.39,0.66
883,20.67,1.11
884,6.41,0.5
885,9.19,0.57
886,11.36,0.83
887,12.57,0.65
888,12.65,0.79
889,11.95,0.7
890,9.98,0.52
891,9.2,0.71
892,5.66,0.44
893,84.51,1.27
894,8.17,0.71
895,6.31,0.63
896,6.75,0.26
897,7.31,0.38
898,8.96,0.46
899,7.63,0.59
900,8.43,0.52
901,4.86,0.35
902,6.34,0.41
903,7.31,0.38
904,8.96,0.46
905,8.43,0.52
906,7.63,0.59
907,8.98,0.54
908,8.77,0.61
909,8.06,0.55
910,4.26,0.39
911,9.04,0.66
912,6.64,0.46
913,5.27,0.44
914,9.84,0.61
915,12.3,0.93
916,9.11,0.51
917,8.6,0.63
918,9.6,0.69
919,11.46,0.88
920,8.22,0.52
921,5.58,0.4
922,11.35,0.6
923,10.78,0.79
924,19.98,0.55
925,6.53,0.34
926,18.74,1.25
927,7.35,0.36
928,40.2,1.15
929,7.79,0.54
930,6.21,0.36
931,6.32,0.42
932,7.9,0.66
933,7.7,0.63
934,11.43,0.97
935,9.58,0.54
936,14.29,1.03
937,5.02,0.41
938,9.25,0.49
939,9.81,0.52
940,22.39,0.85
941,12.99,1.07
942,8.07,0.45
943,12.37,1.12
944,9.94,0.55
945,7.31,0.54
946,42.66,1.39
947,16.81,0.62
948,7.51,0.54
949,6.0,0.53
950,8.35,0.57
951,8.1,0.36
952,10.98,0.71
953,8.53,0.62
954,11.17,0.78
955,17.05,1.0
956,5.14,0.38
957,20.76,0.69
958,6.56,0.39
959,5.96,0.41
960,8.41,0.52
961,11.38,0.88
962,8.93,0.71
963,9.75,0.74
964,25.11,0.74
965,9.07,0.68
966,11.21,0.56
967,30.13,0.76
968,11.0,0.73
969,7.34,0.58
970,8.76,0.4
971,6.43,0.55
972,5.47,0.41
973,5.65,0.32
974,12.66,0.66
975,11.39,0.65
976,6.24,0.45
977,9.34,0.52
978,10.5,0.67
979,10.66,0.56
980,5.21,0.38
981,45.37,0.71
982,9.96,0.63
983,8.48,0.38
984,11.9,1.04
985,6.08,0.35
986,10.92,0.65
987,9.14,0.68
988,10.71,0.6
989,9.58,0.7
990,15.67,0.66
991,7.34,0.43
992,20.41,0.79
993,9.83,0.44
994,5.0,0.45
995,9.78,0.6
996,6.79,0.49
997,11.97,0.75
998,14.17,0.71
999,6.73,0.62
1000,10.34,0.68
1001,7.84,0.66
1002,8.57,0.48
1003,6.05,0.33
1004,7.1,0.42
1005,9.46,0.53
1006,9.93,0.67
1007,6.5,0.61
1008,7.01,0.39
1009,12.36,0.72
1010,8.32,0.49
1011,5.22,0.39
1012,8.14,0.48
1013,6.71,0.66
1014,7.35,0.46
1015,12.85,1.13
1016,8.03,0.47
1017,17.2,1.0
1018,7.59,0.6
1019,11.53,0.53
1020,7.83,0.5
1021,7.11,0.53
1022,22.59,1.29
1023,12.93,0.8
1024,7.33,0.52
1025,11.8,0.78
1026,8.22,0.39
1027,10.04,0.66
1028,6.9,0.48
1029,8.96,0.77
1030,9.79,0.67
1031,6.95,0.41
1032,4.89,0.35
1033,7.73,0.47
1034,10.13,0.5
1035,10.18,0.61
1036,8.39,0.63
1037,7.7,0.41
1038,7.44,0.48
1039,19.49,1.17
1040,8.49,0.51
1041,7.92,0.5
1042,4.68,0.31
1043,7.51,0.5
1044,6.44,0.52
1045,29.49,0.98
1046,9.27,0.88
1047,19.3,0.97
1048,7.16,0.39
1049,5.24,0.27
1050,23.77,0.76
1051,25.12,0.84
1052,7.36,0.44
1053,5.58,0.52
1054,7.52,0.43
1055,7.77,0.47
1056,6.45,0.53
1057,11.13,0.73
1058,18.6,0.79
1059,6.75,0.45
1060,8.48,0.48
1061,11.46,0.66
1062,12.26,0.9
1063,5.85,0.37
1064,14.76,0.66
1065,4.87,0.46
1066,6.42,0.4
1067,6.92,0.44
1068,8.84,0.53
1069,5.99,0.48
1070,6.62,0.64
1071,9.57,0.65
1072,13.85,0.61
1073,7.17,0.42
1074,5.29,0.38
1075,9.45,0.6
1076,11.66,0.62
1077,6.34,0.3
1078,9.61,0.54
1079,6.1,0.44
1080,8.16,0.48
1081,8.81,0.71
1082,4.41,0.42
1083,13.77,0.51
1084,11.26,0.69
1085,5.17,0.38
1086,14.97,0.87
1087,4.74,0.3
1088,13.74,0.66
1089,10.21,0.89
1090,9.95,0.47
1091,9.71,0.43
1092,11.39,0.65
1093,6.54,0.4
1094,14.09,0.72
1095,5.3,0.49
1096,7.05,0.4
1097,6.25,0.42
1098,12.62,0.53
1099,8.16,0.63
1100,12.48,0.67
1101,6.25,0.52
1102,5.98,0.33
1103,61.6,1.2
1104,9.38,0.5
1105,8.62,0.57
1106,11.92,0.66
1107,9.32,0.59
1108,9.9,0.59
1109,21.2,1.47
1110,13.04,0.73
1111,31.75,0.94
1112,27.91,1.02
1113,11.65,0.77
1114,6.0,0.42
1115,13.54,0.63
1116,9.23,0.62
1117,26.62,0.85
1118,21.25,0.62
1119,6.43,0.52
1120,7.72,0.44
1121,17.24,0.86
1122,6.99,0.4
1123,17.01,0.94
1124,7.58,0.41
1125,7.53,0.49
1126,7.6,0.4
1127,7.79,0.62
1128,9.7,0.63
1129,5.88,0.35
1130,5.27,0.37
1131,27.16,0.92
1132,8.56,0.68
1133,8.89,0.62
1134,7.92,0.71
1135,12.91,0.44
1136,5.13,0.35
1137,7.55,0.52
1138,7.69,0.35
1139,8.42,0.46
1140,6.8,0.57
1141,7.58,0.62
1142,20.68,1.28
1143,10.19,0.52
1144,5.45,0.39
1145,10.03,0.73
1146,7.83,0.56
1147,7.05,0.55
1148,7.5,0.64
1149,6.44,0.5
1150,21.88,0.71
1151,13.26,1.04
1152,17.71,0.91
1153,8.67,0.58
1154,8.42,0.52
1155,10.29,0.62
1156,46.71,2.73
1157,10.02,0.49
1158,13.4,0.58
1159,9.4,0.54
1160,7.67,0.35
1161,86.51,1.25
1162,6.11,0.48
1163,8.0,0.5
1164,7.52,0.45
1165,7.63,0.66
1166,6.54,0.36
1167,8.86,0.4
1168,13.64,0.73
1169,6.1,0.34
1170,5.57,0.35
1171,6.01,0.48
1172,7.62,0.65
1173,5.7,0.53
1174,10.19,0.51
1175,7.77,0.5
1176,6.98,0.48
1177,10.28,0.86
1178,8.63,0.53
1179,7.39,0.47
1180,17.67,0.79
1181,7.76,0.6
1182,13.87,0.64
1183,6.7,0.44
1184,7.49,0.64
1185,5.35,0.4
1186,10.01,0.62
1187,6.65,0.51
1188,10.66,0.58
1189,3.13,0.36
1190,9.35,0.7
1191,8.73,0.44
1192,5.12,0.29
1193,8.77,0.64
1194,7.83,0.46
1195,9.88,0.47
1196,28.51,1.03
1197,10.35,0.39
1198,6.79,0.37
1199,11.16,0.65
1200,33.84,1.12
1201,9.35,0.53
1202,7.42,0.37
1203,5.8,0.32
1204,9.44,0.73
1205,26.27,0.96
1206,6.66,0.51
